,user_token,prolific_id,topic,vis_condition,post_clarity_0,post_clarity_1,post_clarity_2,post_clarity_3,post_clarity_ansT,post_clarity_start,post_correctness_0,post_correctness_1,post_correctness_2,post_correctness_ansT,post_correctness_start,post_topicInv_0,post_topicInv_1,post_topicInv_2,post_topicInv_3,post_topicInv_ansT,post_topicInv_start,post_CI_lower,post_CI_upper,post_attitude,pre_clarity_0,pre_clarity_1,pre_clarity_2,pre_clarity_3,pre_clarity_ansT,pre_clarity_start,pre_correctness_0,pre_correctness_1,pre_correctness_2,pre_correctness_ansT,pre_correctness_start,pre_topicInv_0,pre_topicInv_1,pre_topicInv_2,pre_topicInv_3,pre_topicInv_ansT,pre_topicInv_start,pre_CI_lower,pre_CI_upper,pre_attitude,pre_clarity,pre_correctness,pre_topic_involvement,post_clarity,post_correctness,post_topic_involvement,pre_attitude_adjusted,pre_attitude_strength,pre_attitude_uncertainty,post_attitude_adjusted,post_attitude_strength,post_attitude_uncertainty,attitude_difference,abs_attitude_difference,att_uncertainty_difference,abs_att_uncertainty_difference,mean_belief_change,mean_pre_belief_distance,mean_belief_uncertainty_change,count_vars
1,cf4ca333-21e7-4d43-8ae4-69c026f32429,60ff2102fe03bce81dff197e,union,scatter,8,8,7,9,2982,1647643996510,7,6,6,2834,1647644012424,3,3,4,5,1601,1647644024318,7.936431627283684,8.191465479850194,8.06394855356694,7,7,8,9,1406,1647643732142,7,8,6,1729,1647643764428,3,3,3,4,1730,1647643776505,7.800944893107724,8.342891829811565,8.071918361459645,7.75,7.0,13,8.0,6.333333333333333,15,3.0719183614596446,3.0719183614596446,0.541946936703841,3.0639485535669397,3.0639485535669397,0.2550338525665099,-0.00796980789270485,0.00796980789270485,-0.2869130841373311,0.2869130841373311,0.10525861229626128,0.127009636089309,-0.9588360858917976,6
2,c37d9467-2551-419d-a9ae-b00353e23c98,5d957cf3cb51cf001de42e90,union,scatter,7,7,7,7,2053,1647644646225,7,7,7,1321,1647644661226,3,2,4,4,788,1647644669429,6.53381921230697,8.62539083229455,7.579605022300759,3,8,8,8,1162,1647644117070,6,5,5,919,1647644155505,3,2,4,4,1576,1647644207242,5.000000024316075,7.330608400873666,6.1653042125948705,6.75,5.333333333333333,13,7.0,7.0,13,1.1653042125948705,1.1653042125948705,2.3306083765575902,2.5796050223007594,2.5796050223007594,2.0915716199875796,1.414300809705889,1.414300809705889,-0.23903675657001067,0.23903675657001067,0.1332175906158698,0.1675900894691802,0.00917542137068387,6
3,c37d9467-2551-419d-a9ae-b00353e23c98,5d957cf3cb51cf001de42e90,covid,scatter,8,8,8,8,1604,1647644977396,8,8,8,1697,1647644985447,4,4,4,4,909,1647644991937,7.440166914301587,8.515832318866629,7.977999616584108,8,8,8,8,861,1647644698083,8,8,8,909,1647644707733,4,4,4,4,725,1647644713774,7.3405682657307505,8.635350697151633,7.987959481441192,8.0,8.0,16,8.0,8.0,16,2.987959481441192,2.987959481441192,1.2947824314208827,2.977999616584108,2.977999616584108,1.0756654045650418,-0.009959864857084,0.009959864857084,-0.2191170268558409,0.2191170268558409,0.4368938871466212,0.49417004337986575,-0.11168375283462743,6
4,69324df5-f807-47fe-8dd0-8a7db9b76270,604227d56f34b50536d0df92,covid,uncertainty,9,9,9,9,915,1647645602271,6,7,8,797,1647645609067,4,5,4,5,782,1647645620962,1.0,8.89430718343581,8.964026237435396,9,9,9,9,1004,1647645188129,9,9,8,779,1647645201899,5,3,5,5,814,1647645217095,1.0,8.914226913149978,8.964026237435396,9.0,8.666666666666666,18,9.0,7.0,18,3.9640262374353963,3.9640262374353963,7.914226913149978,3.9640262374353963,3.9640262374353963,7.89430718343581,0.0,0.0,-0.019919729714168,0.019919729714168,0.6022704337897183,0.6147210077857205,0.03223969340744071,6
5,69324df5-f807-47fe-8dd0-8a7db9b76270,604227d56f34b50536d0df92,union,uncertainty,5,5,5,5,1040,1647645968307,3,1,4,827,1647645975900,2,1,3,3,719,1647645984413,3.9442543494652016,6.075665428881117,5.009959889173159,6,5,5,5,785,1647645701378,5,3,4,1117,1647645722605,3,1,2,3,740,1647645735554,6.493979752878634,8.30667515686787,7.400327454873252,5.25,4.0,9,5.0,2.6666666666666665,9,2.400327454873252,2.400327454873252,1.8126954039892365,0.009959889173159375,0.009959889173159375,2.1314110794159156,-2.3903675657000925,2.3903675657000925,0.3187156754266791,0.3187156754266791,0.3239089401325091,0.3624161521881382,0.035034898058073215,6
6,9657d2f0-6797-4738-bd16-9413e216ea69,61523ad1ae3acee5b3f7287b,union,uncertainty,8,8,8,8,1217,1647646516943,7,7,8,1783,1647646531607,4,3,5,5,1466,1647646548255,8.344671063412342,8.943958397393555,8.644314730402948,8,8,8,8,1398,1647645877488,8,8,8,1583,1647645895571,5,3,5,5,2131,1647645913556,1.0,8.150307603742762,8.781988847668904,8.0,8.0,18,8.0,7.333333333333333,17,3.781988847668904,3.781988847668904,7.150307603742762,3.6443147304029484,3.6443147304029484,0.5992873339812128,-0.1376741172659557,0.1376741172659557,-6.551020269761549,6.551020269761549,0.24060099760327447,0.2494875707098274,-0.11697090553125722,6
7,9657d2f0-6797-4738-bd16-9413e216ea69,61523ad1ae3acee5b3f7287b,covid,uncertainty,9,9,9,9,2118,1647646849936,9,9,9,1283,1647646860556,5,5,5,5,1167,1647646873454,1.0,8.903466009962393,8.976352307338486,9,9,9,9,1666,1647646582222,8,6,8,1499,1647646594538,5,5,5,5,1432,1647646611172,1.0,8.887269054989927,8.984450784824718,9.0,7.333333333333333,20,9.0,9.0,20,3.984450784824718,3.984450784824718,7.887269054989927,3.9763523073384857,3.9763523073384857,7.9034660099623935,-0.00809847748623227,0.00809847748623227,0.016196954972466315,0.016196954972466315,0.4103025195256822,0.4571179023367516,0.036583181103084055,6
8,b3817e45-d8ae-47fb-b882-9d1a3ad7ae43,5de7f5d27c17f804d007da90,union,hop,8,9,8,9,1528,1647646789958,8,6,7,1775,1647646809328,5,5,5,5,1365,1647646827654,1.0,7.9743810298387965,8.973078381119736,7,8,7,8,1873,1647646173827,3,4,3,1807,1647646200485,4,4,5,5,1655,1647646232940,1.0,6.0131710139175345,8.177015275026234,7.5,3.3333333333333335,18,8.5,7.0,20,3.1770152750262337,3.1770152750262337,5.0131710139175345,3.973078381119736,3.973078381119736,6.9743810298387965,0.7960631060935022,0.7960631060935022,1.961210015921262,1.961210015921262,0.11826575458292536,0.27203289681186543,-0.002321329950873733,6
9,b3817e45-d8ae-47fb-b882-9d1a3ad7ae43,5de7f5d27c17f804d007da90,covid,hop,9,9,9,9,1313,1647647067169,9,9,9,1847,1647647080378,5,5,5,5,1288,1647647092113,1.0,8.842813509213524,8.987552255775979,9,9,9,9,1158,1647646857301,9,9,9,1615,1647646870821,5,5,5,5,1190,1647646882404,1.0,8.842813509213524,8.973078381119736,9.0,9.0,20,9.0,9.0,20,3.973078381119736,3.973078381119736,7.842813509213524,3.987552255775979,3.987552255775979,7.842813509213524,0.014473874656243169,0.014473874656243169,0.0,0.0,0.27498290015456456,0.6778077779989092,-0.14481515815009213,6
10,5bd3b577-66ca-40c4-87ca-3fa835b6b671,5750d1dea9de4b0006e556da,covid,scatter,9,9,9,9,1555,1647647047401,9,4,9,3220,1647647061719,4,5,1,1,1318,1647647081419,1.0,8.941576288718613,1.01840732630943,9,9,9,9,1301,1647646635718,9,7,9,1248,1647646653019,4,5,1,1,1393,1647646670746,1.0,8.961584291919893,1.0084033247087898,9.0,8.333333333333334,11,9.0,7.333333333333333,11,-3.99159667529121,3.99159667529121,7.961584291919893,-3.98159267369057,3.98159267369057,7.941576288718613,0.010004001600640189,0.010004001600640189,-0.020008003201279934,0.020008003201279934,0.07367045370508278,1.0252844476830583,-0.047683976563527374,6
